"CheckName","Current","Expected","Status"
"Audit Logon","System.Object[]","Success & Failure","FAIL"
"Audit Logoff","System.Object[]","Success & Failure","FAIL"
"Audit Account Lockout","System.Object[]","Failure only","PASS"
"Audit IPsec Driver","System.Object[]","Success & Failure","PASS"
"Audit Security State Change","System.Object[]","Success only","FAIL"
"Audit Security System Extension","System.Object[]","Success & Failure","PASS"
"Audit System Integrity","System.Object[]","Success & Failure","FAIL"
"Audit IPsec Key Exchange","System.Object[]","Success & Failure","FAIL"
"Audit Kernel Object","System.Object[]","Success & Failure","PASS"
"Audit SAM","System.Object[]","Success & Failure","PASS"
"Audit Application Generated","System.Object[]","Success & Failure","FAIL"
"Audit Handle Manipulation","System.Object[]","Success & Failure","FAIL"
"Audit File Share","System.Object[]","Success & Failure","FAIL"
"Audit Removable Storage","System.Object[]","Success & Failure","FAIL"
"Audit Sensitive Privilege Use","System.Object[]","Success & Failure","FAIL"
"Audit Other Object Access Events","System.Object[]","Success & Failure","FAIL"
"Audit Filtering Platform Packet Drop","System.Object[]","Success & Failure","FAIL"
"Audit Filtering Platform Connection","System.Object[]","Success & Failure","FAIL"
"Audit Other System Events","System.Object[]","Success & Failure","FAIL"
"Audit Security Group Management","System.Object[]","Success & Failure","FAIL"
"Audit Computer Account Management","System.Object[]","Success & Failure","FAIL"
"Audit Distribution Group Management","System.Object[]","Success & Failure","FAIL"
"Audit Other Account Management Events","System.Object[]","Success & Failure","FAIL"
"Audit User Account Management","System.Object[]","Success & Failure","FAIL"
"Audit Detailed File Share","System.Object[]","Failure only","PASS"
"Audit Logon with Special Privileges","Error","Success only","FAIL"
"Audit Process Creation","System.Object[]","Success only","FAIL"
"Audit Process Termination","System.Object[]","Success only","FAIL"
"Audit DPAPI Activity","System.Object[]","Success & Failure","FAIL"
"Audit RPC Events","System.Object[]","Success & Failure","FAIL"
"Audit Directory Service Access","System.Object[]","Failure only","PASS"
"Audit Directory Service Changes","System.Object[]","Success & Failure","FAIL"
"Audit Directory Service Replication","System.Object[]","Failure only","PASS"
"Audit Credential Validation","System.Object[]","Success & Failure","PASS"
"Audit Kerberos Authentication Service","System.Object[]","Success & Failure","PASS"
"Audit Kerberos Service Ticket Operations","System.Object[]","Success & Failure","PASS"
"Audit Group Membership","System.Object[]","Success only","PASS"
"Audit Application Group Management","System.Object[]","Success & Failure","PASS"
"Audit Authentication Policy Change","System.Object[]","Success & Failure","PASS"
"Audit Authorization Policy Change","System.Object[]","Success & Failure","PASS"
"Audit MPSSVC Rule-Level Policy Change","System.Object[]","Success & Failure","PASS"
"Audit Filtering Platform Policy Change","System.Object[]","Success & Failure","PASS"
"Audit Other Policy Change Events","System.Object[]","Success & Failure","PASS"
